aa    Oui
diè ombi    Mauvais
tali    prix cher
tali    cher
ibuo    Cassé
ipfipfi   Court 
ikula    long
mpini ifi    Fatigué
ibéa    Cru
alaon    Cuit
mpini    Difficile
mpini wè    Facile
issiono    Léger
lion    Lourd
odzili    chaud
ba    Froid
iyiéli    Mûr
ibéa    Vert
ignoru    usé
a ma lè    Neuf
anlu we    Sain
yanlua    malade
ganuan    Vrai
pia    faux
mpin    Blanc
pi    noir
biè    Rouge
kali    Amer
gnin    Acide
ongwa    Salé
tièrè    Sucré
okéo    Accepter
oyula    Accompagner
osséa    Accompagner
ofuon    Acheter
omana    Achever
otala sui    Admirer
omяяnя    Admirer
owè    Aider
odzia    Aimer
oluila    Ajouter
oyiè    Aller
olu ba    Allumer
onéo ba    Allumer
otaala    Apprécier
otala diè    Apercevoir
ota bila    Appeler
opfula antso    Applaudir
oya kiè    Apporter
oyo0    Apprendre
oka sièla kiè    Approcher
otéo    Arrêter
oya    Arriver
ognolo adza    Arroser
ovè tsina    Asseoir
ova tsina    Asseoir
okura    Attacher
onon ka    s'attacher
obao    Atteindre
oboo    Avoir
oyo andza    Baigner
oyo andza    se baigner
okuon ndzuo    Balayer
okura kula    Barrer
otsuä    Bâtir
obèrè    Battre
odzuana    se battre
obila diè    Blâmer
odzuala    Blesser
onuan    Boire
okuène    Bouger
otiolo    Bouillir
odzio mba    Brûler
ossuö    Cacher
obuolo    Casser
okaala    Changer
ota ikukuon    Chanter
ota bi    Chasser
obia    Chasser
oneo ku ba    Chauffer
tuë ba    Chauffer
ossoo    Chercher
ofuolo    Choisir
ossa mfu    Coiffer
obana    Commencer
otala    Compter
opè    Congédier
otsuara diè    Congédier
oyao    Connaître
otsuä    Construire
ofula    Consulter
osséo tulo    Coucher
obaon ikuo    Coudre
otsira    Couper
obara tini    Courir
ota unsoolo    Crier
oka    Cueillir
olaon    Cuire
ossala tsio    Cultiver
okina    Danser
odzulo    Déboucher
omè ilo    Décharger
opè    Découvrir
obièlè    Dédaigner
ossuolo    Défricher
ofula do    Demander
omè ilo boo    Déplacer
odzula nuru    Déshabiller
omè ikuo    Déshabiller
olè ikuo    Habiller
dzia ilo    Désirer
okala ya ibion    Devoir (dette)
ova ibion    Devoir (dette)
olièlè do    Dire
obila ya yuna    Disputer
okaba ilo    Distribuer
owa    Donner
osséo tulo    Dormir
oyila    Durer
oyoo ando    Ecouter
okila onkana    Ecrire
oyia diè ku la    Eloigner
oyia kiè ku la    Eloigner
okura    Emballer
owa onsali    Embaucher
obira    Emmener
obira    Emporter
ofuon    Emprunter
oluo    Enseigner
obara    s'enfuir
oyo do    Entendre
osson    Entrer
oyuö    Envoyer
oyèlè    Essayer
odzéo ba    Eteindre le feu
okala    Etre
ossa ilo    Faire
odzo ilo    Fermer
omana    Finir
onéo ilo    Fixer
ofana    Fouiller
owa    Fournir
okula    Frotter
onuan ankè    Fumer
obo    Gagner
oyilo    Garder
ukièlè    Garder
olina    Goûter
okula    Grandir
obila diè    Gronder
odzoon    Gronder
obo nuru    Guérir
ofuo kula    Guider
okala mu ola    Habiter
obièlè buru    Haïr
obièlè ilo    Haïr
obéo yao    Ignorer
otsion do    Imaginer
oyèlè    Imiter
obuono    Implorer
odzio mpion    Inhumer
otoo    Injurier
oluo andza ma alo    Inonder
okila nkun    Inscrire
oluo ikana    Instruire
otsuä    Interdire
ofula ando    Interroger
ota vi    Jeter
otaon    Jouer
osséa    Laisser
oyéo    Lâcher
ossuao    Laver
ossènè    Lever
otéo    Lever
ovéo    Lier
otala onkana    Lire
odzuana    Lutter
otion    Mâcher
odza    Manger
oyiè dzuë mu ntsi    Marcher
ovéo    Mélanger
oluo    Mettre
otéo    Mettre debout
oyele    Mesurer
okoon    Monter
ofuo    Montrer
otsua mini    Mordre
okua    Mourir
oyièlè    Mûrir
obiai    Mûrir
otsaba mu andza    Nager
obura    Naître
owa nkun    Nommer
obuno    Nourrir
o nuan andza    Noyer 
otaala bara-bari    Obéir
otala    Observer
oboo    Obtenir
osséa ilo ovioviè    Ordonner
omè    Oter
ozino tsion    Oublier
ozua nsion    Oublier
odzulo    Ouvrir
otso do    Parler
okaba    Partager
oyiè dzuë    Partir
ofura    Payer
otsion ando    Penser
otula    Percer
ota vi    Perdre
otsua    Piler
otsion ntsi    Piocher
otsua tumbu    Piquer
ossea    Placer
okuna    Planter
olila    Pleurer
ofura    Plier
obira    Porter
okoo mu ossa ilo    Pouvoir faire
ossa tsua tsua    Presser 
okala ya ilo    Posséder
otsuan kula    Précéder
owolo    Prendre
olaon vi odza    Préparer
ofuon    Prêter
otsuan ankula    Prévenir
oyao do yi ya    Prévoir
o wa do    Promettre
otio    Puiser
ofula ando    Questionner
omara    Quitter
oyiè    Quitter
ota ankoon    Raconter
otuolo ilo    Ramasser
obaon    Rappeler 
oyo    Recevoir
otono ibion    Réclamer
oka    Récolter
obana    Recommencer
otsion ando    Réfléchir
otsua ilo    Refuser
obea ilo    Refuser
otala    Regarder
ovana    Rencontrer
ossoon    Rentrer
oyira    Renverser
ovéra    Renvoyer
oyilo    Réparer
olièlè yilo lièlè    Répéter
olièlè ilo bala yuëlè    Répéter
okéo    Répondre
owéla mu tuolo    Réveiller
oka-vuro    Revenir
obula omuna    Revoir
ossièbè    Rire
opala ankila    Saigner
ossion    Saisir
obio    Saluer
oyao    Savoir
okuna    Semer
otsura mpiri    Sentir mauvais
okaba boo    Séparer
owa vi odza    Servir à manger
oboo    Soigner
opala    Sortir
omuna pari    Souffrir
ossenè    Soulever
ossièbè    Sourire
oluono    Suivre
otsira ikuo    Tailler
otsuä kia    Taire
obéa ossa kia    Taire
omana    Terminer
odzura    Tirer
ova mu ntsi    Tomber
otsira tsièli    Tondre
ofura    Tordre
obion    Toucher
okala kula    Tourner
ofuna    Trahir
oyuõ    Transmettre
owa alua    Transmettre la maladie
otula    Transpercer
obira    Transporter
ossala    Travailler
otsira    Traverser
otioro    Trembler
oluo mu andza    Tremper
otula dzuä    Trouer
omuna    Trouver
ogniè min    Uriner
ossa mu biéli    Utiliser un couteau
odzua    Vaincre
okièlè mu mpiu    Veiller
otio    Vendre
usion a nkira    Vénérer les saints
oya    Venir
oluo andza    Verser l'eau
olè ikuo    Vêtir
oyuba idzia    Vider un étang
oyièlè    Vieillir
otala    Visiter
otala    Voir
odzoon    Voler (un oiseau)
otura    Voler (dérober)
oloo    Vomir
oyiè dzuë    Voyager
oyiè kiri kiri    Zigzaguer
yulu    Ciel
mba    Chaleur
kaaka    Foudre
akaaka    Foudre
ondzili    Froid
tsui    Lune
idzi mvula    Nuage
idziladzili    Ombre
gawa    Pluie
agawa    Pluie
mvula    Pluie
avula    Pluie
ono    Rosée
issu    Saison
tali    Soleil
ifula    Vent
ikikio    Colline
mièlè    Fleuve
immièlè    Fleuve
idzua    Forêt
itaon    Lac
kio    Montagne
ankio    Montagne
mièlè    Rivière
immièlè    Rivière
ibuna mièlè    Source
onti    Arbre
inti    Arbre
tsiène    Epine
antsiène    Epine
tsuëri    Feuille
antsuëri    Feuille
bu    Graine
abu    Graine
lissièli    Herbe
tsiéli    Herbe
andza onti    Sève
onti    Tronc
inti    Tronc
libè    Bambou
bèè    Bambou
buo    Champignon
ambuo    Champignon
ompfuna    Chiendent
Impfuna    Chiendent
liyu    Arachide
dzu    Arachide
savuka    Avocat, avocatier
asavocat    Avocat, avocatier
nta    Courge
dzagnon    Oignon
ikulu    Oseille
gakuo    Feuilles de manioc
dzuu    Piment
adzuu    Piment
loso    Riz
itu    Ananas
nkuo    Banane
ankuo    Banane
lari    Orange
anlari    Orange
lari-lignin    Citron
anlari magnin    Citron
mpabi    Aile
ampabi    Aile
tsion    Corne
antsion    Corne
dzini li ngwo    Сroc
mini a ngwo    Сroc
mpéi    Ecailles
ipfiri    Griffes
onuan gnon    Gueule
inuan agnon    Gueule
bièlè    Mamelle
ambielè    Mamelle
dzéi    Oeil
mwi    Oeil
ntsui    Oreille
antsui    Oreille
litaon    Patte
taon    Patte
fula    Plume
amfula    Plume
lifu    Poil
mfu    Poil
onuan ndzo    Trompe
inuan andzo    Trompe
dzani    Araignée
adzani    Araignée
mpépé    Cafard
apépé    Cafard
ntumi    Chique
atunmi    Chique
gagnui    Fourmi
igagnuin    Fourmi
dziè    Grillon
adziè    Grillon
nguigui    Mouche
aguigui    Mouche
tubi    Moustique
atubi    Moustique
imfulanga    Papillon
tsina    Pou
atsina    Pou
nkuoro    Crapaud
ankuoro    Crapaud
ndzo    Grenouille
andzo    Grenouille
ipalapali    Lézard
bon    Boa
abon    Boa
ngakua    Corbeau
angakua    Corbeau
moino    Moineau
amoino    Moineau
ikali    Perdrix
nkaa    Pintade
ankaa    Pintade
ikuku    Pigeon
nka    Antilope
anka    Antilope
mpao    Buffle
ampao    Buffle
ndzo    Eléphant
andzo    Eléphant
mvubi    Hippopotame
amvubi    Hippopotame
nkué    Lion
ankué    Lion
ngwo    Panthère
angwo    Panthère
ikaba    Souris
nkion    Singe
ankion    Singe
taba    Bouc, chèvre
ataba    Bouc, chèvre
gagnion    Chat, chatte
agagnion    Chat, chatte
mva    Chien, chienne
amva    Chien, chienne
ngulu    Cochon
angulu    Cochon
ntsué    Coq, poule
antsué    Coq, poule
mwana ntsué    Poussin
bana ntsué    Poussin
nuru    Corps
ibu nuru    Peau
plia    Os
amfia    Os
tila    Veine
atila    Veine
ontsuë    Tête
intsue    Tête
lifu    Cheveu
mfu    Cheveu
mbii    Front
ambii    Front
ikibi mui    Sourcils
tsa-tsala mui    Cils
mwui    Oeil
baa    Joue
ambaa    Joue
yulu    Nez
anyulu    Nez
ibuéli    Lèvre
onuan    Bouche
inuan    Bouche
ikio    Menton
dièlè    Barbe
andièlè    Barbe
nkii    Cou
ankii    Cou
béa nkii    Nuque
ambéa nkii    Nuque
issaon    Epaule
ansaon    Epaule
kuo    Bras
mio    Bras
onlion    Doigt
ilion    Doigt
liyala    Ongle
dzala    Ongle
béa    Dos
ambéa    Dos
otulu    Poitrine
intulu    Poitrine
bièlè    Sein
ambièle    Sein
onkuon    Nombril
inkuon    Nombril
mpuli    Pénis
ampuli    Pénis
mpfièlè    Vagin
ampfièlè    Vagin
to    Fesse
anto    Fesse
ibièleè    Jambe
ambièlè    Jambe
buo    Genou
ambuo    Genou
itsinu    Talon
kulu    Pied
mili    Pied
onkuolo    Coeur
inkuolo    Coeur
mwin    Estomac
litso imwin    Poumon
antso a mwin    Poumon
vion    Rhume
bièlè    Lait maternel
ambièlè    Lait maternel
antsa    Larme
antiè    Salives, crachats
ankila    Sang
anlibi    Sperme
tsuru    Sueur
min    Urine
suë    Abcès
anshuë    Abcès
mboo    Blessure, plaie
mputa    Blessure, plaie
mbaali    Blessure, plaie
amboo    Blessure, plaie
amputa    Blessure, plaie
ntulu onto    Bronchite
antulo onto    Bronchite
tumi    Chique
atumi    Chique
onkaon    Fièvre
inkaon    Fièvre
lali    Folie
anlali    Folie
nkana    Gale
akana    Gale
tsuina    Pus
antsuïna    Pus
ntulu    Toux
antulu    Toux
mwana yu béa    Bébé, nourrisson
bana ba béa    Bébé, nourrisson
mwana onké    Fille
bana ba ké    Fille
mwana yu bolo    Garçon
bana ba bolo    Garçon
buru a buru    Adulte
bari a bari    Adulte
onkiokiè    Jeune
akiakiè    Jeune
ikumu onké    Vieille femme
ikumu aké    Vieille femme
ikumu bolo    Vieil homme
ikumu a bolo    Vieil homme
nkao yu bolo    Grand-père
a nkao ba bolo    Grand-père
nkao yu onké    Grand-mère
a nkao ba ké    Grand-mère
nkao yu akui    Ancêtre disparu
a nkao ba kui    Ancêtre disparu
ontiolu    Petit-fils
atiolu    Petit-fils
kiéli a maon    Tante maternelle
akiéli a maon    Tante maternelle
kiéli a tara    Tante paternelle
akiéli a tara    Tante paternelle
kua kala wè    Adresse
kara ndzuo    Chambre
ankara ndzuo    Chambre
fugula    Clef
anfugula    Clef
nkui    Bois de chauffage
mwinda    Lampe
a mwinda    Lampe
ndzuo ou ndzwo    Maison
andzuo ou andzwo    Maison
idzo    Porte
tumbu    Aiguille
antumbu    Aiguille
tséni a dzaramère    Allumettes
antséni a dzaramère    Allumettes
dzaramère    Boîte d'allumettes
adzaramère    Boîte d'allumettes
issipari    Chaussures
ansipari    Chaussures
simissi    Chemise
ansimissi    Chemise
on-sia ikuo    Fil
insia mi i nkuo    Fil
onkana    Papier
inkana    Papier
patuolo    Pantalon
ampatuolo    Pantalon
cupé    Short
acupé    Short
iminimali    Veste
odza ba ipali    Déjeuner (matin)
odza ba kara miin    Déjeuner(midi)
odza ba kukuolo    Dîner
odza ba mu mpiu    Souper
onlagui    Bouteille
inlangui    Bouteille
kiri    Chaise
ankiri    Chaise
biéli    Couteau
ambiéli    Couteau
ikaali    Cuiller en bois
mbulu    Couverture
a mbulu    Couverture
boo    Lit
amboo    Lit
ontsuë boo    Oreiller
intsuë boo    Oreiller
sabuoni    Savon
ansabuoni    Savon
kabini    Toilette (wc)
ankabini    Toilette (wc)
farini    Farine
anfarini    Farine
maali    Huile
ongua ou ongwa    Sel
ingua ou ingwa    Sel
dzu    Piment
adzu    Piment
kiéri    Poivre
akiéri    Poivre
bi li alaon    Oeuf dur
ambi ma alaon    Oeuf dur
bi li akai    Omelette
ambi ma akai    Omelette
тара    Pain
аmяра    Pain
tsui    Poisson
atsui    Poisson
supu    Soupe
ansupu    Soupe
gnon wa akai    Viande grillée
agnon ba akai    Viande grillée
gnon wa alaon    Viande bouillie
agnon ba tiolu    Viande bouillie
andza    Eau
mali    Vin
vini    Vin rouge
yauru ayauru    Yaourt
bali anvion    Aéroport
ambali anvion    Aéroport
camgna    Automobile
a camgna    Automobile
otucari    Autobus
intucari    Autobus
anvion    Avion
violo    Bicyclette
anviolo    Bicyclette
chofère    Chauffeur
achofère    Chauffeur
okuno    Descente
ankuno    Descente
okoon    Montée
ankoon    Montée
ombiri ilo    Porteur
abiri ilo    Porteur
kula    Route
ankula    Route
vula    Ville
amvula    Ville
libili    Altercation
ambili    Altercation
bila diè    Blâme
buru wa véo bari    Conciliateur
bari ba véo bari    Conciliateur
luo    Conseil
anluo    Conseil
owa mio    Entraide
otaala buru    Félicitation
ossièbee buru    Diffamation
ossièbeè bari    Diffamation
féti    Fête
aféti    Fête
bari ba alo    Foule
tsaa    Célébrité
antsa plu.)    Célébrité
liguère    Guerre
anguère    Guerre
otso buru    Provocation
otso bari    Provocation
otono ilo    Réclamation
mpfuo    Vol
obuon wuna    Accolade
abuon bana    Accolade
oyo buri    Accueil
gado    Ami
agado    Ami
igado    Amitié
dzia    Amour
ossoon    Conversation
inssoon    Conversation
buori    Salutation
ambuori    Salutation
otala buru    Visite
otala bari    Visite
bo ya atio ilo    Boutique
ambo ma atio ilo    Boutique
bo ya atio mali    Brasserie
ambo ma atio mali    Brasserie
obuolo agnon    Elevage
abuoli agnon    Elevage
dzadu    Marche
andzadu    Marche
tali    Prix
antali    Prix
buru wa atio ilo    Commerçant
bari ba atio ilo    Commerçant
wa sala ntsio    Cultivateur
bari ba sala antsio    Cultivateur
bwéi    Domestique
ambwéi    Domestique
mwana icolo    Elève, étudiant
bana icolo    Elève, étudiant
tsoo    Magistrat
a ntsoo    Magistrat
doctère    Médecin
adoctère    Médecin
pulissi    Policier
ampulissi    Policier
missiè    Maître, professeur
amissiè    Maître, professeur
militère    Soldat, militaire
amilitère    Soldat, militaire
banki    Banque
ambanki    Banque
ndzuo ampulissi    Commissariat
lipitari    Dispensaire
ampitari    Dispensaire
icolo    Ecole
ancolo    Ecole
bali    Tribunal
ambali    Tribunal
adan ya eve    Adam et Eve
mwana dzaon    Ange
bana dzaon    Ange
onkana a dzaon    Bible
ikukun i dzaon    Cantique
ndzuo dzaon    Eglise
andzuo a dzaon    Eglise
ndzuo ompfu    Enfer
andzuo a mpfu    Enfer
yézu    Jésus
do a dzaon    Evangile
ando a dzaon    Evangile
lipfu    Mort
ampfu    Mort
passitèrè    Pasteur
apassitère    Pasteur
do yi bi    Péché
ando ma bi    Péché
prièrè    Prière
amprièrè    Prière
satana    Satan
asatana    Satan
nkaa    Amulette
ankaa    Amulette
onsala ampion a nkao    Culte des ancêtres
sorcier    Onlo
Alo    Onlo
interdit    Nguili
tabou    Nguili
Anguili    Nguili
Aan    oui
Abéa iyuïni    mollets
Aciso    ciseaux
Adzion    radio
A gnuini    oiseaux
Adzuï buru    homicide
Adressi    adresse
Aïe    cri de douleur
Akuana    quarante
Akutsaon    soixante-dix
Aku-puon    quatre-vingt
Aku-wa    quatre-vingt-dix
Akui    il est mort
Alaon    c'est cuit
Agenda    agenda
Agnongnon    étoiles
Ampfun    rhumatisme
Ampule    ampoule
Ampule    abcès
Ampfiè    abcès
Anclé    clés
Ankoo    cuisine
Anséni    chaînes
Anséni    train
Anso    hanches
Anso    acclamations
Anso fuli    poumons
Antsa    larmes
Antiè    salive
Antiè    crachats
An-yièlè    intelligence
Aquariome    aquarium
Arduase    ardoise
Armuar    armoire
Assipirine    aspirine
Assurance    assurance
Atabissi    cadeau
Atsièrè    chenilles
Atsofuli    poumon
Avion    avion
Bague    bague
Bale    balle
Bali    au revoir
Bakui    ancêtres
Bari    foule
Bari    hommes
Bato    bateau
Béa    derrière
Béa nkuo; béon    coude
Béi    nous
Bersso    berceau
Bi    oeuf
Bii    saleté
Bii    chasse
Biai, biè    rouge
Biberon    biberon
Bible    bible
Biqui    bic
Bili    cola
Bolo    homme
Bolo    garçon
Bonbon    bonbon
Bu    jumeaux
Bu    arachides à deux graines
Bu    une graine
Buari    bouteille
Bueri a wè    bonjour
Bulangeri    boulangérie
Bulu    couverture
Bulu    chacal
Bulabuli    guêpe
Buru    fruit
Buru    homme
Buton    bouton
Buo    peur
Buori    bonjour
Buru a dzaon    religieux
Buru a dzaon    chrétien
Саса    matières fécales
Caffé    café
Cahiè    cahier
Calandrié    calendrier
Camgna    camionnette
Camgna    voiture
Canète    canette
Cantine    cantine
Cantine    seau
Capitale    capitale
Cartable    cartable
Cassète    cassette
Cersso    cerceau
Champagne    champagne
Cheval    cheval
Chocola    chocolat
Cinma    cinéma
Cinkère    cinq heures
Cinture    ceinture
Ciso    ciseau
Ciso    aciso ciseaux
Clé    clé ou clef
Cémantine    clémentine
Coon    persévérant dans l'effort
Coon    a de l'endurance
Colan    collant
Colège    collège
Coussin    coussin
Crèè    craie
Crèyon    crayon
Cuche    couche
Cuiyère    cuillère ou cuiller
Curan    courant électrique
Déodoran    déodorant
Dictionère    dictionnaire
Dimansi    dimanche
Doliprane    doliprane
Do yi bi    interdit
Do yi bi    tabou
Drapo    drapeau
Dzadarme    gendarme
Dzadu    marché
Dzaon    dieu
Dzia    affection
Dzini    dent
Dzini li gnon    croc d'une bête
Dziu ba    se brûler
Dzou    grenouille
Dzu    arachides
Dzuë    voyage
Ebali    savane
Ebali    fleuve
Ebi    broujllard
Ebuéli    elevagé
Ebui, Evuri    nuage
Echarpe    écharpe
Ediadiè    hirondelle
Epulapu    chauve-souris
Egulagu    canard
Elâ    intestin
Emo    conversation
Ephéi    fenêtre
Eponje    éponge
Farinè    farine
Farmassi    pharmacie
Fèti    fête
Fenètre    fenêtre
Fler    fleur
Frigo    réfrigérateur
Fromaci    fromage
Fuli    tortue
Fufu    farine de manioc
Fungula    clé
Fungula    cadenas
Fur    four
Furchète    fourchette
Gabion    charognard
Gado    camarade
Gadzué    porc-épic
Gapièle    patate
Gapièle    igname
Gaze    gaz
Gato    gâteau
Gilète    gilette
Gna béa    derrière
Gna béa    après
Gna tutuè    tout près de
Gnon    viande
Gnon wa alaon    viande cuite
Gnon a gnon    étoile
Gnon a gnon    uniquement de la viande
Gome    gomme
Guidon    guidon
Iba    jalousie
Iba    rate
Ibièlè    cuisse
Ibièlè    jambe
Ibuna mièle    source
Ibuna mièle    point de départ
Ibuni    origine
Ibuni    famille
Ibu i nuru    peau
Ibueli    lèvre
Iburu    famille
Iburu    filiation
Idzi mvula    nuage de pluie
Idzièbièlè    boucles d'oreilles
Idziladzili    silhouette
Idzili    miroir
Idzunu    ombre
Ifi    vessie
Igagnui    fourmi
Ikakari    au milieu
Ikanari    canard
Ikibi mwin    sourcil
Ikua    pomme de terre
Ikukuo    pigeon
Ikumí bolo    vieux
Ikumi onké    vieille femme
Ikuo    habit
Ikuo    vêtement
Ilo    beaucoup
Iluolo    sorcellerie
Iluri    c'est beaucoup
Ilion    langue
Ilion    organe charnu
I-lion    lourd
I-lion    c'est lourd
Imperméable    imperméable
Impfiri    sorcellerie
Impfiri    griffes
Impfulaga    papillon
Impfuna    réunion secrète
Impfuna    aparté lors de règlement
Impossible    impossible
Ingwo    maux de rein
Ipalapala    lézard
Ipé    moitié
Ipfirmié    infirmier
Issaon    épaule
Issiono    six
Itaon    patte
Iteï    table
Itui    étui
Izun    vertige
Jambon    jambon
Jardin    jardin
Juè    jouet
Jine    jean
jine    pantalon
Ka    antilope
Kaa    amulette
Kaa    pintade
Kabini    wc
Kaqui    kaki
Kana    gale
Karaté    karaté
Ké    ordalie
Kon    cent
Kon tiéri    trois cent
Kon na    quatre cent
Kon tsaon    sept cent
Kon wa    neuf cent
Kon kwun    mille
Koon    endurance
Kuëkuë    sève
Ku tuè    près de
Ku tsina    en dessous
Ku tsina    au-dessous
Ku yulu    au ciel
Ku-la    très loin
Kula    chemin
Kula    direction
Kuo    banane
Kuo    bananier
Laon    longévité
Larí    prangé
Lè    lait
Libili    querelle
Libili    dispute
Lièle    aile d'oiseau
Lipfu    décès
Lissa obuo    au revoir
Lisso    safou
Lissoo    pain de manioc
Losso    riz
Luilè    huile
Leündi    lundi
Luobu    aujourd'hui
Li-yala    ongle
Macaroni    macaroni
Macaroni    style de pâtes
Mara    quitte
Mara ognuon    quittez cet endroit
Ma kala    reste
Ma kala ya diè    reste un peu avec lui ou elle
Ma kala tsiin    reste encore un peu
Mali amba    vin de palme
Mali ansa    vin de maïs
Mali ankuo    vin de banane
Manguli    mangue
Maon    mère
Maon yu onkuru    l'aînée de ma mère
Maon yu onkio    ma mère cadette
Мaрa    pain
Mardi    mardi
Mariassi    mariage
Mars    mars
Maya    viens
Mba    feu
Mbala    mariage
Mbali    cour
Mbali    avant-hier
Mbu    graine
Mbu    jumeau
Mbuo    relation sexuelle
Mbura    carpe
Mbwéi    cadet
Mbwéi    petit frère
Mbwéi a maon    tante maternelle cadette
Mè    je
Mè    me
Mè    moi
Mèè    enlève
Mèè obuo    ne fais pas ça
Mè ikéo    oui
Mè ikéo    j'accepte
Mè ibé    non
Mè ibé    je refuse
Mè kia    silence
Mè kia    arrête de parler
Mercredi    mercredi
Mfièle    vagin
Mfia    os
Mfi    célibataire
Mfula    calebasse
Mfuo    vol
Mii    soleil
Mièle    fleuve
Mièle    rivière
Milissi    milice
Milssien    milicien
Milssien    chargé d'ordre public
Miltère    militaire
Militan    militant
Min    urines
Missiè    maître
Montre    montre
Mpao    buffle:
Mpara    rat
Mpé    sauterellé
Mpêpé    cafard
Mpéi    écailles-
Mpini    force
Mpini wè    faible
Mpiini    esprit protecteur
Mpfu    cheveux
Mpfu a mwin    sourcils
Mpuli    verge
Muba    maintenant
Mukuolo    lentement
Mu kuo ki bolo    à droite
Mu kuo ki ké    à gauche
Muzissien    musicien
Mustikèrè    moustiquaire
Mvini    saleté
Mvini    sale
Mva    chien
Mva    chienne
Mvula    saison des pluies
Mvula tson    première pluie
Mvulu    bagarre
Mvulu    bataille
Mvulu    guerre
Mwana    enfant
Mwana buru    petit enfant humain
Mwana onké    petite fille
Mwana a bolo    petit garçon
Mwana wa béa    bébé de deux à cin ans
Mwin    vivant
Mwin    ventre
Mwin    mal au ventre
Mwui    yeux
Na    qui ?
Na méi ?    qui a enlevé ?
Na si ?    qui a fait cela ?
Na woli ?    qui a pris cela ?
Na fula?    qui demande ?
Na fuli mè ?    qui me demande ?
Na fuli diè ?    qui le ou la demande ?
Napè    nappe
Ndièlè    barbe
Ndwéi    homonyme
Ndzadu    marché
Ndzala    faim
Ndzani    araignée
Ndzaon    Dieu
Ndzaramèrè    boîte d'allumettes
Ndzéi    oeil
Ndzo    éléphant
Ndzwana    tissu en raphia
Ndzungu    marmite
Ndzwo    maison
Ndzwo    case
Ndzwo    lignage
Ndzwo    famille
Ngado    ami
Ngado    amie
Ngado    camarade
Ngadu    caïman
Ngagnion    chat
Ngagnion    chatte
Ngna guli abali    avant-hier
Ngo    mère
Ngubolo    oncle
Ngubolo    frère de la mère d'égo
Nkao    Grands-parents
Nkao wu bolo    grand-père
Nkao wu onké    grand-mère
Nkio    montagne
Nkien    singe
Nkuon    nom
Nkuon    identité
Nkuón    cigogne
Nkuru    sac
Nkwé    lion
Nkwé    lionne
Nou    abeille
Nso    safous
Nso    vice
Nso    tendance à
Nso    faire du mal
Ntaa    graines de courage
Ntsi    terre
Ntsi yi bakui    terre ancestrale
Ntsièlè    chenille
Ntsièli    herbe
Ntsiènin    épine
Ntso    safous
Ntsué    coq
Ntsué    poule
Ntubi    moustique
Numero    numéro
Nzaon    cache-toi
Nzio    enterre
Nzulo    ouvre
Nzoo    grenouille anzoo
Obia    laideur
Obuéli    éleveur
Odzili    froid
Odzili    humidité
Oguë-guëla    arc-en-ciel
Ofièrè    respirer
Ofuli    commerçant
Ofula    demander
Ofula na ?    qui demander ?
Ofula buni ?    comment demander ?
Ofula ima ?    quoi demander ?
Ola    village
O la    chez
Ola na ?    chez qui ?
Ola bwo ?    chez eux ?
Ola diè ?    chez lui ?
